channel,mean,var,scale
axh,3.0590477155187665,11.197720182069096,3.3462994758492695
ayh,8.661461517266032,11.422397890629032,3.379703816997731
azh,5.658201558704959,7.156698122809827,2.675200576182995
gxh,-0.0037327532501461864,9113.60131788941,95.46518379958952
gyh,-0.2825905646991285,2003.8316825803038,44.76417856478888
gzh,-1.1467782741288528,1040.034369983582,32.249563872765506
axw,7.500146965711009,21.499720306545413,4.636779087528908
ayw,2.4408699653063066,7.607166434665741,2.7581092136943637
azw,4.345848069054132,30.151052381717083,5.490997394073055
gxw,1.723567825521788,799.7899349107414,28.28055754243083
gyw,-0.028576036351968963,55196.7204825102,234.9398231090468
gzw,-0.3960845812368593,1110.9645699490493,33.331135143421825
axa,1.6094091821030587,13.713529022090844,3.703178232557926
aya,6.952000204457116,38.14407593871525,6.176089048800645
aza,3.722276307171453,33.99293417508248,5.830345973875176
gxa,0.5656484558632424,56964.301608528054,238.67195396302444
gya,-1.0568819120557706,8068.64257719407,89.82562316618834
gza,0.4554369196830586,9180.862080897536,95.81681523040481
